sbename,varname,varunit
prDM,press,dbar
t090C,temp1,degc90
t190C,temp2,degc90
altM,altimeter,meters
ptempC,pressure_temp,degc90
timeS,time,seconds
flC,fluor,ug/l
scan,/,number
pumps,/,pump_status
latitude,/,degrees
longitude,/,degrees
c0mS_slash_cm,cond1,mS/cm
c1mS_slash_cm,cond2,mS/cm
sbeox0V,sbeoxyV1,volts
sbox0Mm_slash_Kg,oxygen_sbe1,umol/kg
sbeox1V,sbeoxyV2,volts
sbox1Mm_slash_Kg,oxygen_sbe2,umol/kg
T2_minus_T190C,t2_minus_t1,degc90
C2_minus_C1mS_slash_cm,c2_minus_c1,mS/cm
xmiss,transmittance,percent
CStarTr0,transmittance,percent
transmittance,transmittance,percent
turbWETbb0,turbidity,m^1/sr
par,par_up,number
par1,par_dn,number
